fold,accuracy,precision,recall,f1
1,0.9402985074626866,0.9591836734693877,0.9591836734693877,0.9591836734693877
2,0.8656716417910447,0.9347826086956522,0.8775510204081632,0.9052631578947369
3,0.9701492537313433,0.9607843137254902,1.0,0.98
4,0.9253731343283582,0.9782608695652174,0.9183673469387755,0.9473684210526315
5,0.9090909090909091,0.9375,0.9375,0.9375
