fold,accuracy,precision,recall,f1
1,0.835820895522388,0.88,0.8979591836734694,0.8888888888888888
2,0.9253731343283582,0.9782608695652174,0.9183673469387755,0.9473684210526315
3,0.9253731343283582,0.9074074074074074,1.0,0.9514563106796117
4,0.9552238805970149,0.9423076923076923,1.0,0.9702970297029703
5,0.9545454545454546,1.0,0.9375,0.967741935483871
